facebook.com, 57.144.174.1
amazon.com, 205.251.242.103
wordpress.com, 192.0.78.17
youtube.com, 142.251.211.238
yahoo.com, 74.6.143.26
live.com, 204.79.197.212
tudou.com, 106.11.43.215
msn.com, 204.79.197.219
yahoo.co.jp, 124.83.184.252
wikipedia.org, 198.35.26.96
microsoft.com, 13.107.246.59
qq.com, 123.150.76.218
blogspot.com, 142.251.33.105
taobao.com, 59.82.44.240
bing.com, 150.171.27.10
apple.com, 17.253.144.10
baidu.com, 110.242.68.66
sina.com.cn, 36.51.254.91
sohu.com, 61.135.164.50
windows.com, 20.70.246.20
163.com, 59.111.160.244
ebay.com, 23.216.149.153
ask.com, 151.101.22.114
pps.tv, 111.206.13.61
adobe.com, 23.220.75.239
soso.com, 43.153.249.87
twitter.com, 162.159.140.229
hao123.com, 39.156.68.154
xunlei.com, 39.104.2.218
fc2.com, 199.48.210.152
mozilla.com, 35.190.14.201
youku.com, 106.11.43.158
paypal.com, 151.101.195.1
sdjjdsaf.com, NOT_RESOLVED
andysayler.com, 159.89.253.85
tmall.com, 59.82.133.135
sogou.com, 43.153.249.87
wmfo.org, 23.92.21.128
rakuten.co.jp, 133.237.180.69
about.com, 151.101.66.137
orkut.com.br, 208.109.60.213
56.com, 58.63.244.82
ku6.com, 117.50.1.222
